Buyer Full Name,Buyer SSN,Seller Full Name,Seller SSN,Witness Full Name,Witness SSN,Property Address,City,State,Square Feet,Property Category,Closing Date,Sale Amount (USD),Notes
Shannon Mcclure,798-55-3586,Anthony Stone,638-97-8168,,,"12172 Osborn Valleys Suite 518, Lewisport, UT 71564",Lewisport,UT,1717,Condominium,2023-04-29,228846,Below market
Lisa Crosby,287-05-6071,Maria Henry,812-03-1525,Rachel Carlson,,"6465 Sarah Flats, Kellyfort, OK 78125",Kellyfort,OK,2286,Multi-Family,2022-05-18,486489,
David Grant,427-78-9767,Rebecca Rodriguez,888-04-2160,,,"8039 Kelly Villages, East Craig, TN 23269",East Craig,TN,2941,Single-Family Home,2024-05-24,661306,
John Hancock,,Heather Fields,,Kimberly Robinson,604-36-0107,"584 Mario Squares, Port Jamie, IL 38857",Port Jamie,IL,1731,Townhouse,2023-02-12,463510,
Kimberly Scott,006-91-0117,John Hall,880-11-4642,Autumn Smith,671-27-5176,"8695 Braun Locks Apt. 688, Coxberg, NE 63739",Coxberg,NE,3354,Multi-Family,2022-01-14,675353,
Erica Keith,429-78-4068,Victor Waller,464-18-2264,Carrie Ochoa,107-50-9840,"833 Claudia Highway Suite 228, Morrisonhaven, ME 71606",Morrisonhaven,ME,,Land/Lot,2022-01-29,122060,
Michele Williams,,William Richardson,661-46-0993,,,"6471 King Gateway Suite 993, Trevorland, GA 60513",Trevorland,GA,,Land/Lot,2023-05-08,139393,
Taylor Coleman,,Dustin Jordan,,Rebecca Ramsey,861-60-2092,"07029 Underwood Locks Suite 066, Lambland, MH 23151",Lambland,MH,,Land/Lot,2021-03-19,107320,
Mrs. Brittany Ryan MD,,Andrew Clark,811-47-6359,Heather Foster,601-26-8483,"05411 Ford Plaza Apt. 793, West Williamport, NH 42644",West Williamport,NH,,Land/Lot,2024-11-02,441303,
Lindsey Johnson,235-87-9425,Christopher Smith,547-17-4495,,,"584 Mario Squares, Port Jamie, IL 38857",Port Jamie,IL,1731,Townhouse,2023-08-13,460212,Cash sale
Terri Mckinney,691-96-8748,Jeremy Young,,Heather Foster,601-26-8483,"40415 Douglas Summit Suite 338, Huangfurt, GU 36038",Huangfurt,GU,1146,Condominium,2024-06-05,355935,
Ms. Susan Vargas,,Carmen Rose,622-55-3471,,,"38367 Teresa Divide Suite 103, Aaronfurt, PR 68626",Aaronfurt,PR,1389,Single-Family Home,2024-12-06,296680,
Dana Kennedy,417-25-1546,Vanessa Patel,129-17-7788,Johnny Nguyen,500-28-5814,"303 Sandy Crescent Suite 990, Peterland, ME 41040",Peterland,ME,,Land/Lot,2024-09-18,128528,Contingent on inspection
James Salinas,559-38-2361,Michael Obrien,289-98-7171,,,"39431 Emily Port, Jasonhaven, FL 07629",Jasonhaven,FL,1426,Condominium,2022-02-12,413094,
Carrie Ochoa,107-50-9840,Erica Keith,429-78-4068,,,"833 Claudia Highway Suite 228, Morrisonhaven, ME 71606",Morrisonhaven,ME,,Land/Lot,2022-01-05,90415,
Parker Hill,,Carmen Rose,622-55-3471,Laura Hines,,"0544 Cameron Walks Apt. 324, North Julie, PW 97982",North Julie,PW,,Land/Lot,2021-07-28,341484,
Maria Henry,812-03-1525,John Hancock,,Heather Foster,601-26-8483,"8580 Payne Manors, Dunnville, OK 13924",Dunnville,OK,,Land/Lot,2022-12-03,155876,
Joshua Kim,613-06-7079,Gina Wilson,078-19-3697,Annette Miles,874-84-9034,"271 Patrick Street Apt. 155, Lake Matthewville, VI 39724",Lake Matthewville,VI,3811,Multi-Family,2021-11-02,665370,
Elizabeth Brown,047-39-4765,Joseph Warren,445-88-2193,,,"821 Dawson Turnpike, East Jeffreyberg, IL 05398",East Jeffreyberg,IL,8120,Commercial,2023-11-29,2352324,
Elijah Johnson,333-08-4807,Jennifer Jones,,,,"1545 Green Station, Annaport, ME 85890",Annaport,ME,1766,Single-Family Home,2021-11-11,435773,Contingent on inspection
Brooke Glover,799-12-2121,Madeline Powell,489-50-0077,Mrs. Amy Hayes,215-98-2763,"300 Jeremy Wells Suite 421, New Jamesstad, AL 50773",New Jamesstad,AL,,Land/Lot,2022-07-26,292480,
Parker Cain,570-08-9609,Bruce Collier,511-92-4782,,,"537 Ford Walk, East Shannonmouth, MT 16218",East Shannonmouth,MT,3697,Multi-Family,2021-07-19,682273,Contingent on inspection
Mason Johnson,491-52-6985,Susan Rivas,264-62-4836,,,"5060 Shaw Freeway, Port Samuel, PW 51116",Port Samuel,PW,9504,Commercial,2022-02-28,2923626,1031 exchange
Jamie Stewart,,William Huerta,,,,"1531 Anderson Knoll, Zavalaview, WA 72068",Zavalaview,WA,990,Townhouse,2024-07-21,289040,Estate sale
Michelle Wagner,851-71-7306,Rachel Carlson,,,,"0602 Mercedes Rue, Frankview, WA 30006",Frankview,WA,1380,Townhouse,2023-05-30,346909,
Olivia Brennan,037-80-1122,Richard Young,332-03-2855,Elijah Johnson,333-08-4807,"6465 Sarah Flats, Kellyfort, OK 78125",Kellyfort,OK,2286,Multi-Family,2022-01-22,511185,
Andrew Diaz,,Elijah Johnson,333-08-4807,,,"5269 Diaz Springs, South Danielle, CA 23146",South Danielle,CA,,Land/Lot,2022-01-16,315155,
Gina Wilson,078-19-3697,Frederick Tate,058-30-0526,,,"806 Castillo Tunnel, Patrickchester, ID 64028",Patrickchester,ID,2999,Multi-Family,2024-07-08,576652,Cash sale
Anthony Rodriguez,643-21-6917,William Richardson,661-46-0993,Hannah Patterson,,"0614 Gonzalez Burg, South Ashleyfort, FL 27626",South Ashleyfort,FL,4509,Multi-Family,2022-03-24,1011205,Cash sale
Jordan Frazier,,Patrick Moore,425-84-1623,Parker Cain,570-08-9609,"44375 Bailey Underpass Suite 419, Leebury, KY 89187",Leebury,KY,,Land/Lot,2023-12-05,401027,Foreclosure
Ana Hill,649-75-8985,Desiree Smith,196-11-3955,,,"0714 Knapp Corner, South Neil, NH 15714",South Neil,NH,4148,Single-Family Home,2024-06-30,1028529,Contingent on inspection
Aaron Hayes,,Alyssa Gonzalez,,,,"5892 Kramer Springs Apt. 017, Summersfort, KY 02635",Summersfort,KY,11439,Commercial,2022-11-12,3529249,Contingent on inspection
Anthony Carter,,Nicholas Martin,389-35-9126,,,"60422 Dustin Islands, Ashleyhaven, MH 32948",Ashleyhaven,MH,1506,Commercial,2021-04-12,358341,
Brian Bruce,377-15-4565,Natasha Wells,266-97-4051,,,"82422 Donovan Fork, Port Tammy, NE 45854",Port Tammy,NE,685,Condominium,2021-10-05,252936,Foreclosure
Jacob Tran,,Alex Spencer,603-29-0118,,,"08484 Wayne Square Suite 211, Hopkinstown, AL 69233",Hopkinstown,AL,2777,Single-Family Home,2023-04-30,602356,Cash sale
Dana Marshall,625-86-6210,Belinda Mccullough,,,,"8580 Payne Manors, Dunnville, OK 13924",Dunnville,OK,,Land/Lot,2021-09-17,200909,
Mrs. Amy Hayes,215-98-2763,Carrie Ochoa,107-50-9840,Michael Calhoun,,"904 Schwartz Circle Apt. 742, Youngview, MA 53639",Youngview,MA,1366,Townhouse,2024-09-02,381998,
Roberta Hughes,680-84-2493,Patrick Arnold,,,,"4479 Jackson Mills, New Kelly, CT 46578",New Kelly,CT,8507,Commercial,2022-08-28,2169104,
Alicia Hubbard,,Melissa Hernandez,831-73-4979,,,"685 Campos Dam, Hickmanport, GA 90850",Hickmanport,GA,2006,Multi-Family,2024-03-18,345530,
Mary Valdez MD,707-15-6829,Caleb King,719-20-3367,Martin Wise,639-07-9731,"926 William River Apt. 411, West Robertville, TN 65740",West Robertville,TN,3657,Multi-Family,2022-02-22,893369,
Sandra Sanchez,,James Lewis,335-44-6212,,,"8662 Miller River, Kristenmouth, NM 39216",Kristenmouth,NM,,Land/Lot,2024-11-01,102266,
Arthur Colon,,Sabrina Austin,659-72-0431,,,"22927 Robert Springs Apt. 794, Nancyberg, PA 99118",Nancyberg,PA,2138,Townhouse,2022-12-07,655636,Short sale
Jennifer Rivera,117-62-7845,Christine Lopez,371-78-1939,Kevin Holland,421-03-3993,"202 Nielsen Path, East Ashleyburgh, DC 53644",East Ashleyburgh,DC,3747,Commercial,2022-04-18,1027445,
Ray Walsh,,Michael Mitchell,233-96-1481,,,"6586 Maria Turnpike Apt. 271, South Samuelchester, GA 04880",South Samuelchester,GA,4734,Multi-Family,2024-12-12,802734,Contingent on inspection
Ryan Stokes,536-14-0415,Erica Wilson,361-72-7871,,,"406 Butler Turnpike, Lake Deborah, MS 90304",Lake Deborah,MS,1730,Single-Family Home,2023-11-03,384922,
Andrew Clark,811-47-6359,Keith Knight,894-19-7922,,,"5779 Warren Dam Suite 231, Kaufmanbury, NC 67942",Kaufmanbury,NC,,Land/Lot,2024-01-07,280657,
Norman Cook,422-86-4066,Lindsey Johnson,235-87-9425,Maria Henry,812-03-1525,"86688 Paul Glens Apt. 517, Meredithberg, AS 49138",Meredithberg,AS,1265,Townhouse,2024-10-16,318489,Estate sale
Janice Carlson,480-68-4120,Gina Beard,,Maria Henry,812-03-1525,"75884 Nathan Summit, North Alexander, DC 35728",North Alexander,DC,,Land/Lot,2023-08-11,198097,1031 exchange
Paul Young,,Michael White,180-11-9986,,,"83301 Rivera Mountains, Derrickshire, IA 13679",Derrickshire,IA,821,Condominium,2023-01-30,306480,Foreclosure
Marie Kim DDS,124-32-3682,Corey Murphy,886-09-4574,,,"622 Patel Forks Suite 160, Keithville, AL 57677",Keithville,AL,1497,Condominium,2022-03-24,488337,1031 exchange
Elizabeth Ortiz,,Heather Fields,,Laura Hines,,"731 Donald Crossing Suite 565, Jenniferberg, PW 18828",Jenniferberg,PW,1646,Condominium,2022-08-16,457228,
William Richardson,661-46-0993,Susan Rivas,264-62-4836,,,"8831 Garcia Underpass Apt. 100, Loriburgh, AK 29636",Loriburgh,AK,4685,Commercial,2023-08-10,1134793,Contingent on inspection
Dr. Ashley James MD,,Thomas Schmidt,,,,"403 Joyce Centers Apt. 343, West Russellport, TX 18488",West Russellport,TX,1483,Townhouse,2023-11-14,463352,Contingent on inspection
James Lewis,335-44-6212,Alex Hernandez,,,,"59774 Shaw Manor Apt. 392, Youngbury, ME 33269",Youngbury,ME,1302,Condominium,2021-07-25,409803,
Dr. Ashley James MD,,Steve Newton,160-35-4617,,,"05411 Ford Plaza Apt. 793, West Williamport, NH 42644",West Williamport,NH,,Land/Lot,2022-05-11,255279,Foreclosure
Elijah Johnson,333-08-4807,Kristina Santiago,421-46-6930,Amber Obrien,509-37-3771,"960 Preston Isle, Johnsonview, MO 91008",Johnsonview,MO,9439,Commercial,2024-06-01,2550388,
Michele Williams,,Brett Schultz,894-13-7270,,,"696 Michael Vista Suite 924, Emilyfort, NC 81042",Emilyfort,NC,2035,Townhouse,2023-09-10,543246,1031 exchange
David Scott,010-60-4713,Courtney Mills,462-57-4872,Ellen Morgan,007-24-2348,"59774 Shaw Manor Apt. 392, Youngbury, ME 33269",Youngbury,ME,1302,Condominium,2022-05-06,422975,1031 exchange
Juan Tran,096-29-1859,Anthony Carter,,,,"722 Jennifer Mount Apt. 430, Lisaburgh, MP 26645",Lisaburgh,MP,2566,Single-Family Home,2022-05-29,524168,Cash sale
Christopher Jenkins,508-37-6562,Adam Jones,708-20-8939,,,"35733 Eric Hill Apt. 888, Romerotown, MN 05448",Romerotown,MN,1157,Condominium,2022-12-23,383204,
Megan Richards,843-82-6087,Jamie Stewart,,,,"226 Johnson Ridges Apt. 796, Mullenbury, AS 51466",Mullenbury,AS,3336,Multi-Family,2023-07-30,570936,Short sale
Amanda Reese,,Lindsey Johnson,235-87-9425,Rebecca Ramsey,861-60-2092,"667 Cynthia Trafficway Apt. 684, Burnsshire, SC 91557",Burnsshire,SC,1487,Townhouse,2022-07-08,342726,
Joseph Ramos,285-24-9591,Colton Martinez,869-59-1502,,,"114 Key Stravenue, Angelastad, NH 63240",Angelastad,NH,10552,Commercial,2024-10-25,2557401,
Maria Harper,022-07-5465,Michael Elliott,224-60-4199,,,"25286 Carlson Ports Suite 627, Lake Dennisville, IA 83797",Lake Dennisville,IA,992,Condominium,2021-07-23,382053,Contingent on inspection
Joseph Coleman,,Andrew Diaz,,Jeffrey Chavez,740-93-4316,"12172 Osborn Valleys Suite 518, Lewisport, UT 71564",Lewisport,UT,1717,Condominium,2024-06-14,610171,Short sale
Haley Hartman,,Roberta Hughes,680-84-2493,,,"8580 Payne Manors, Dunnville, OK 13924",Dunnville,OK,,Land/Lot,2022-08-03,263117,Contingent on inspection
Aaron Powers,114-74-8096,Curtis Baker,536-26-5865,Elizabeth Williams,509-27-7876,"3744 Williams Via, North Kimberly, CA 23399",North Kimberly,CA,5713,Multi-Family,2023-02-06,2017630,
Parker Cain,570-08-9609,Tyler Holmes,052-72-4083,Wanda Torres,636-08-9989,"86688 Paul Glens Apt. 517, Meredithberg, AS 49138",Meredithberg,AS,1265,Townhouse,2022-07-26,339410,Cash sale
Mason Johnson,491-52-6985,John Peterson,053-33-7828,,,"0614 Gonzalez Burg, South Ashleyfort, FL 27626",South Ashleyfort,FL,4509,Multi-Family,2021-11-20,713856,1031 exchange
Victoria Garcia,413-94-5560,Jessica Wright,866-39-3264,Mary Nguyen,714-38-9084,"46618 Ashley Extension Suite 224, New Carlymouth, VI 39970",New Carlymouth,VI,,Land/Lot,2022-11-27,176167,
Joseph Ramos,285-24-9591,Randy Shah,021-98-9433,,,"5187 Miguel Highway Suite 937, Jonesmouth, VI 48771",Jonesmouth,VI,1360,Townhouse,2022-11-01,334900,Cash sale
Maria Kerr,,Renee Blair,,,,"49021 Elizabeth Valley Suite 938, Williamsmouth, NH 08494",Williamsmouth,NH,8491,Commercial,2023-04-16,1958820,
John Hancock,,Anthony Stone,638-97-8168,,,"072 Carolyn Branch, West Denise, NY 29830",West Denise,NY,1587,Townhouse,2024-06-10,478992,Estate sale
Joshua Kim,613-06-7079,Jeffrey Meyer,826-69-3229,Raymond Hancock,845-01-8890,"175 Laura Locks, Shawnfort, MD 29052",Shawnfort,MD,1480,Condominium,2024-06-16,525659,Short sale
Shelly Alexander,,Paul Jones,,,,"4615 Stevens Gardens Apt. 410, East James, NC 12756",East James,NC,4614,Commercial,2024-03-21,1128217,Short sale
Brooke Thompson,,Cameron Fisher,,,,"05411 Ford Plaza Apt. 793, West Williamport, NH 42644",West Williamport,NH,,Land/Lot,2021-05-05,311124,Estate sale
Joshua Kim,613-06-7079,Lisa Allen,,,,"24241 Wright Landing Apt. 064, Port Ericmouth, AL 95657",Port Ericmouth,AL,,Land/Lot,2021-09-25,254269,
Carolyn Howard,449-80-4396,Sarah Ward,694-41-6980,Anna Chang,047-02-2268,"7467 Banks Union Apt. 120, West Lisaburgh, DE 21393",West Lisaburgh,DE,3128,Single-Family Home,2022-10-27,992246,
David Bradley,081-11-7963,Latoya Robbins,218-84-8180,Andrew Diaz,,"1531 Anderson Knoll, Zavalaview, WA 72068",Zavalaview,WA,990,Townhouse,2024-09-30,215177,
John Peterson,053-33-7828,Trevor Fisher,,,,"4479 Jackson Mills, New Kelly, CT 46578",New Kelly,CT,8507,Commercial,2023-06-08,2745609,
Sandra Sanchez,,Susan Hopkins,,,,"2190 Kelly Harbor Apt. 842, Ortizfort, MT 60443",Ortizfort,MT,4774,Multi-Family,2024-04-26,1064476,
Deborah Ramsey,,Samantha White,,Jesse Garza,236-49-6316,"91279 Natalie Place Apt. 172, North Allen, NC 79599",North Allen,NC,1138,Condominium,2023-01-02,399126,
Jonathan Peterson,870-54-8032,Erin Warner,278-40-4119,,,"5892 Kramer Springs Apt. 017, Summersfort, KY 02635",Summersfort,KY,11439,Commercial,2022-12-04,1723173,Below market
Lisa Barnes,598-73-8566,Brian Bruce,377-15-4565,Richard Rodriguez,894-05-7712,"8149 Tyler Pass Suite 079, Port Rachelmouth, AS 22374",Port Rachelmouth,AS,6991,Commercial,2021-05-31,2198835,
Richard Baker,639-89-6513,Dylan Miller,,,,"0714 Knapp Corner, South Neil, NH 15714",South Neil,NH,4148,Single-Family Home,2022-09-13,889179,
Ashley Lee,,Debbie Carpenter,272-05-1777,Stephanie Lucas,317-57-0547,"953 Walter Shore Apt. 644, East Williamport, IN 08490",East Williamport,IN,6925,Commercial,2021-12-22,1927969,Foreclosure
Jordan Frazier,,Jason Bentley,694-96-2852,,,"22356 Thomas Wall Apt. 175, Port Erinhaven, ME 83211",Port Erinhaven,ME,3355,Multi-Family,2024-05-24,594870,
Heather Fields,,Roberta Hughes,680-84-2493,,,"59325 Samantha Vista Suite 002, North Brianbury, AK 77389",North Brianbury,AK,,Land/Lot,2024-10-23,143879,
Kimberly Burgess,,Raymond Hancock,845-01-8890,Diane Beck,635-43-1531,"999 Thomas Fields, Stevenville, NJ 66099",Stevenville,NJ,2899,Single-Family Home,2021-09-26,694477,1031 exchange
Jason Peterson,,Adam Jones,708-20-8939,,,"806 Castillo Tunnel, Patrickchester, ID 64028",Patrickchester,ID,2999,Multi-Family,2021-01-09,233524,Below market
Carmen Rose,622-55-3471,Belinda Mccullough,,Jeffrey Henderson,479-94-0888,"303 Sandy Crescent Suite 990, Peterland, ME 41040",Peterland,ME,,Land/Lot,2022-07-20,280778,Contingent on inspection
Michelle Wagner,851-71-7306,Dana Kennedy,417-25-1546,Brooke Thompson,,"0602 Mercedes Rue, Frankview, WA 30006",Frankview,WA,1380,Townhouse,2024-11-15,407868,1031 exchange
Jessica Wright,866-39-3264,Erin Warner,278-40-4119,,,"622 Patel Forks Suite 160, Keithville, AL 57677",Keithville,AL,1497,Condominium,2024-03-05,555040,
Brian Bruce,377-15-4565,Trevor Fisher,,,,"696 Michael Vista Suite 924, Emilyfort, NC 81042",Emilyfort,NC,2035,Townhouse,2024-02-07,623960,1031 exchange
Brandi Bailey,071-32-6055,Mary Steele,030-24-4478,Michael Calhoun,,"8695 Braun Locks Apt. 688, Coxberg, NE 63739",Coxberg,NE,3354,Multi-Family,2024-08-31,517453,
Mary Steele,030-24-4478,Frederick Tate,058-30-0526,,,"584 Mario Squares, Port Jamie, IL 38857",Port Jamie,IL,1731,Townhouse,2024-10-31,441693,
Jennifer Jones,,Rachel Carlson,,Brandi Bailey,071-32-6055,"2353 Hudson Gardens Suite 854, Lake Dustin, KS 64545",Lake Dustin,KS,2392,Townhouse,2022-12-15,714538,
Ray Walsh,,Savannah Garcia,,,,"20472 West Avenue Apt. 043, West Jeffreymouth, CT 20098",West Jeffreymouth,CT,1004,Townhouse,2022-09-26,253325,Foreclosure
Aaron Bell,772-50-6866,Olivia Harris,563-17-4720,,,"941 Wendy Flat, East Madison, MN 85171",East Madison,MN,,Land/Lot,2022-01-29,178773,
Jeffrey Henderson,479-94-0888,Courtney Mills,462-57-4872,,,"755 Hines Ports, Michaelshire, AZ 18548",Michaelshire,AZ,1508,Single-Family Home,2023-11-06,384294,Short sale
Jesse Garza,236-49-6316,Samantha White,,,,"0863 Clarke Light Suite 991, Port Erikachester, NC 56270",Port Erikachester,NC,4804,Commercial,2023-02-04,1141809,
Paul Young,,Ms. Susan Vargas,,,,"53654 Ashley Crest Apt. 238, Port Austin, AS 06520",Port Austin,AS,,Land/Lot,2022-12-17,73982,Estate sale
Andrea Martin,,Shelly Alexander,,,,"8662 Miller River, Kristenmouth, NM 39216",Kristenmouth,NM,,Land/Lot,2021-10-08,260656,
Michelle Schmitt,,Eric Powell,,,,"786 Frye Mount Suite 854, Lake Devinborough, OH 80464",Lake Devinborough,OH,,Land/Lot,2024-12-19,354637,1031 exchange
Jason Bentley,694-96-2852,Robert Costa,,Heather Foster,601-26-8483,"696 Michael Vista Suite 924, Emilyfort, NC 81042",Emilyfort,NC,2035,Townhouse,2023-06-16,626798,
Alicia Hubbard,,Valerie Gray,566-38-5926,James Baker,127-59-6039,"786 Frye Mount Suite 854, Lake Devinborough, OH 80464",Lake Devinborough,OH,,Land/Lot,2022-06-28,87472,Short sale
James Lewis,335-44-6212,Annette Farmer,641-28-4336,,,"632 Peck Stravenue Suite 327, East Colin, LA 67967",East Colin,LA,2648,Single-Family Home,2023-08-07,708332,Estate sale
Thomas Schmidt,,Michael Martinez,,Jeremy Young,,"0345 Michelle Isle Suite 156, West Sarahhaven, MO 52932",West Sarahhaven,MO,1136,Condominium,2023-10-31,390352,Foreclosure
Brenda White,,Ellen Morgan,007-24-2348,,,"303 Sandy Crescent Suite 990, Peterland, ME 41040",Peterland,ME,,Land/Lot,2024-08-13,233681,
Patrick Arnold,,Andrew Shaw MD,,,,"3315 Buchanan Stravenue, Port Jennamouth, NV 00668",Port Jennamouth,NV,2546,Multi-Family,2023-10-25,556991,Cash sale
Nicholas Sims,745-10-0306,Lindsey Johnson,235-87-9425,,,"8039 Kelly Villages, East Craig, TN 23269",East Craig,TN,2941,Single-Family Home,2023-02-27,323464,Below market
Amber Obrien,509-37-3771,Michael Elliott,224-60-4199,Michael Calhoun,,"722 Jennifer Mount Apt. 430, Lisaburgh, MP 26645",Lisaburgh,MP,2566,Single-Family Home,2023-07-30,580143,
Anthony Carter,,Phillip Clark,222-30-5384,,,"37524 Sharon Stream Apt. 069, West Stevenside, NE 02551",West Stevenside,NE,8048,Commercial,2023-12-30,1978790,Foreclosure
Susan Bush,664-48-9641,Juan Smith,258-26-7260,Lindsey Parsons,,"28160 Ramirez Greens, West Shane, TX 17549",West Shane,TX,1364,Condominium,2024-02-15,500342,
Cameron Fisher,,Carmen Rose,622-55-3471,Susan Brooks,733-26-1246,"8313 Joel Park, Patriciaburgh, VT 03946",Patriciaburgh,VT,2712,Single-Family Home,2023-10-21,649559,
David Bradley,081-11-7963,Brian Ramirez,651-47-2665,Dean Santiago,,"68733 Williams Haven, Jimenezport, NM 65367",Jimenezport,NM,8158,Commercial,2024-04-16,2400804,Short sale
Francisco Fernandez,142-20-3789,David Bradley,081-11-7963,,,"91485 Baker Shoal, Rodriguezberg, FL 64147",Rodriguezberg,FL,1167,Condominium,2022-12-20,384529,
Ms. Susan Vargas,,James Lewis,335-44-6212,,,"904 Schwartz Circle Apt. 742, Youngview, MA 53639",Youngview,MA,1366,Townhouse,2022-07-06,379281,
Erin Warner,278-40-4119,Margaret Mullins,106-02-9406,,,"164 Walker Tunnel Apt. 181, Richardbury, NE 70048",Richardbury,NE,10166,Commercial,2023-10-26,3106407,
Paul Jones,,Keith Jennings,,Heather Foster,601-26-8483,"24241 Wright Landing Apt. 064, Port Ericmouth, AL 95657",Port Ericmouth,AL,,Land/Lot,2023-07-24,202518,
Kimberly Gibson,330-25-3913,Mary Steele,030-24-4478,,,"182 Jones Port, Haynesstad, NH 08664",Haynesstad,NH,1573,Condominium,2021-07-21,571076,Contingent on inspection
Ray Walsh,,Parker Cain,570-08-9609,Heather Foster,601-26-8483,"941 Wendy Flat, East Madison, MN 85171",East Madison,MN,,Land/Lot,2021-08-20,275631,
Tyler Reid,849-59-2507,Andrew Diaz,,William Richardson,661-46-0993,"0165 Stephanie Divide Suite 021, Williamsstad, RI 31433",Williamsstad,RI,1658,Commercial,2024-07-09,477867,
Margaret Mullins,106-02-9406,Kimberly Robinson,604-36-0107,Andrew Shaw MD,,"12172 Osborn Valleys Suite 518, Lewisport, UT 71564",Lewisport,UT,1717,Condominium,2023-06-02,480945,Estate sale
Jennifer Thomas,,Renee Bruce,,Joshua Price,380-86-8851,"75884 Nathan Summit, North Alexander, DC 35728",North Alexander,DC,,Land/Lot,2021-06-14,373543,Contingent on inspection
Andrew Shaw MD,,Paul Young,,Shelly Alexander,,"5892 Kramer Springs Apt. 017, Summersfort, KY 02635",Summersfort,KY,11439,Commercial,2021-01-29,2842633,Cash sale
Denise Davenport,484-32-7484,Aaron Bell,772-50-6866,,,"2456 Williams Center, Mitchelltown, PR 75248",Mitchelltown,PR,4032,Commercial,2023-04-24,1149409,
Thomas Webb,583-87-7179,James Howard,030-88-2141,,,"588 Ryan Stream, Lake Mirandahaven, WI 33082",Lake Mirandahaven,WI,1761,Townhouse,2022-12-06,512995,
Sarah Phelps,,Christina Brooks,166-70-8690,Nathan Frank,582-77-1392,"59325 Samantha Vista Suite 002, North Brianbury, AK 77389",North Brianbury,AK,,Land/Lot,2021-11-22,94402,Estate sale
Nicole Chambers,231-26-2415,Ray Walsh,,Steve Newton,160-35-4617,"1418 Terri Drives, Milesland, SC 70806",Milesland,SC,1955,Townhouse,2023-10-27,593481,Short sale
Kevin Cox,142-66-8086,Diana Washington,553-17-9356,,,"773 Morris Rue Apt. 193, North Tamara, GA 70644",North Tamara,GA,5572,Multi-Family,2024-04-18,1143095,Foreclosure
James Baker,127-59-6039,Andrew Shaw MD,,,,"0614 Gonzalez Burg, South Ashleyfort, FL 27626",South Ashleyfort,FL,4509,Multi-Family,2024-10-30,745966,
Ashley Gutierrez,571-71-0003,Rebecca Richmond,653-39-8329,,,"571 Katherine Forges Apt. 554, Port Shawn, OH 72287",Port Shawn,OH,4170,Multi-Family,2022-02-25,727588,
Trevor Fisher,,Pamela Romero,,,,"89023 Mary Gateway Apt. 705, North Larry, NY 92858",North Larry,NY,2317,Multi-Family,2023-09-11,382946,1031 exchange
Nicholas Sheppard,277-79-8818,Robert Stevens,313-30-3653,Denise Davenport,484-32-7484,"656 Alex Green, Lake Elizabeth, GA 29599",Lake Elizabeth,GA,2258,Townhouse,2021-06-16,611407,Cash sale
Paige Carlson,103-25-4854,Linda Burns,115-47-5039,,,"5655 Nelson Club Apt. 291, Batesberg, IA 20870",Batesberg,IA,2693,Commercial,2023-12-21,695259,
Brian Bruce,377-15-4565,Lindsey Johnson,235-87-9425,Michael Calhoun,,"953 Walter Shore Apt. 644, East Williamport, IN 08490",East Williamport,IN,6925,Commercial,2022-11-09,2229123,
Jordan Frazier,,Annette Miles,874-84-9034,Michael Cross,803-72-7974,"03697 Daniel Parks Apt. 893, Rodriguezport, IA 94682",Rodriguezport,IA,3798,Single-Family Home,2021-07-06,988224,Contingent on inspection
